0,	0,	10,	10,
0,	6,	10,	10,
0,	12,	10,	10,
0,	18,	10,	10,
0,	24,	10,	10,
0,	30,	10,	10,
0,	36,	10,	10,
6,	0,	10,	10,
6,	6,	10,	10,
6,	12,	10,	10,
6,	18,	10,	10,
6,	24,	10,	10,
6,	30,	10,	10,
6,	36,	10,	10,
12,	0,	10,	10,
12,	6,	10,	10,
12,	12,	10,	10,
12,	18,	10,	10,
12,	24,	10,	10,
12,	30,	10,	10,
12,	36,	10,	10,
18,	0,	10,	10,
18,	6,	10,	10,
18,	12,	10,	10,
18,	18,	10,	10,
18,	24,	10,	10,
18,	30,	10,	10,
18,	36,	10,	10,
24,	0,	10,	10,
24,	6,	10,	10,
24,	12,	10,	10,
24,	18,	10,	10,
24,	24,	10,	10,
24,	30,	10,	10,
24,	36,	10,	10,
30,	0,	10,	10,
30,	6,	10,	10,
30,	12,	10,	10,
30,	18,	10,	10,
30,	24,	10,	10,
30,	30,	10,	10,
30,	36,	10,	10,
36,	0,	10,	10,
36,	6,	10,	10,
36,	12,	10,	10,
36,	18,	10,	10,
36,	24,	10,	10,
36,	30,	10,	10,
36,	36,	10,	10,
42,	0,	10,	10,
42,	6,	10,	10,
42,	12,	10,	10,
42,	18,	10,	10,
42,	24,	10,	10,
42,	30,	10,	10,
42,	36,	10,	10,
48,	0,	10,	10,
48,	6,	10,	10,
48,	12,	10,	10,
48,	18,	10,	10,
48,	24,	10,	10,
48,	30,	10,	10,
48,	36,	10,	10,
54,	0,	10,	10,
54,	6,	10,	10,
54,	12,	10,	10,
54,	18,	10,	10,
54,	24,	10,	10,
54,	30,	10,	10,
54,	36,	10,	10,
60,	0,	10,	10,
60,	6,	10,	10,
60,	12,	10,	10,
60,	18,	10,	10,
60,	24,	10,	10,
60,	30,	10,	10,
60,	36,	10,	10,
66,	0,	10,	10,
66,	6,	10,	10,
66,	12,	10,	10,
66,	18,	10,	10,
66,	24,	10,	10,
66,	30,	10,	10,
66,	36,	10,	10,
72,	0,	10,	10,
72,	6,	10,	10,
72,	12,	10,	10,
72,	18,	10,	10,
72,	24,	10,	10,
72,	30,	10,	10,
72,	36,	10,	10,
78,	0,	10,	10,
78,	6,	10,	10,
78,	12,	10,	10,
78,	18,	10,	10,
78,	24,	10,	10,
78,	30,	10,	10,
78,	36,	10,	10,
84,	0,	10,	10,
84,	6,	10,	10,
84,	12,	10,	10,
84,	18,	10,	10,
84,	24,	10,	10,
84,	30,	10,	10,
84,	36,	10,	10,
0,	0,	10,	20,
0,	6,	10,	20,
0,	12,	10,	20,
0,	18,	10,	20,
0,	24,	10,	20,
6,	0,	10,	20,
6,	6,	10,	20,
6,	12,	10,	20,
6,	18,	10,	20,
6,	24,	10,	20,
12,	0,	10,	20,
12,	6,	10,	20,
12,	12,	10,	20,
12,	18,	10,	20,
12,	24,	10,	20,
18,	0,	10,	20,
18,	6,	10,	20,
18,	12,	10,	20,
18,	18,	10,	20,
18,	24,	10,	20,
24,	0,	10,	20,
24,	6,	10,	20,
24,	12,	10,	20,
24,	18,	10,	20,
24,	24,	10,	20,
30,	0,	10,	20,
30,	6,	10,	20,
30,	12,	10,	20,
30,	18,	10,	20,
30,	24,	10,	20,
36,	0,	10,	20,
36,	6,	10,	20,
36,	12,	10,	20,
36,	18,	10,	20,
36,	24,	10,	20,
42,	0,	10,	20,
42,	6,	10,	20,
42,	12,	10,	20,
42,	18,	10,	20,
42,	24,	10,	20,
48,	0,	10,	20,
48,	6,	10,	20,
48,	12,	10,	20,
48,	18,	10,	20,
48,	24,	10,	20,
54,	0,	10,	20,
54,	6,	10,	20,
54,	12,	10,	20,
54,	18,	10,	20,
54,	24,	10,	20,
60,	0,	10,	20,
60,	6,	10,	20,
60,	12,	10,	20,
60,	18,	10,	20,
60,	24,	10,	20,
66,	0,	10,	20,
66,	6,	10,	20,
66,	12,	10,	20,
66,	18,	10,	20,
66,	24,	10,	20,
72,	0,	10,	20,
72,	6,	10,	20,
72,	12,	10,	20,
72,	18,	10,	20,
72,	24,	10,	20,
78,	0,	10,	20,
78,	6,	10,	20,
78,	12,	10,	20,
78,	18,	10,	20,
78,	24,	10,	20,
84,	0,	10,	20,
84,	6,	10,	20,
84,	12,	10,	20,
84,	18,	10,	20,
84,	24,	10,	20,
0,	0,	10,	30,
0,	6,	10,	30,
0,	12,	10,	30,
0,	18,	10,	30,
6,	0,	10,	30,
6,	6,	10,	30,
6,	12,	10,	30,
6,	18,	10,	30,
12,	0,	10,	30,
12,	6,	10,	30,
12,	12,	10,	30,
12,	18,	10,	30,
18,	0,	10,	30,
18,	6,	10,	30,
18,	12,	10,	30,
18,	18,	10,	30,
24,	0,	10,	30,
24,	6,	10,	30,
24,	12,	10,	30,
24,	18,	10,	30,
30,	0,	10,	30,
30,	6,	10,	30,
30,	12,	10,	30,
30,	18,	10,	30,
36,	0,	10,	30,
36,	6,	10,	30,
36,	12,	10,	30,
36,	18,	10,	30,
